Name,Address,City,State,Zipcode,Bandwitdh ( DIA or Broadband) Prediction,Direct or Wholesale Prediction,DQE ICP Focus,Provider And Connectivity,Website,Phone,LinkedIn Url,No Of Employees,Est Telco Spend,Entity Employee count,Entity Telco Spend,Location Type,Competitive Rating,canon_name,addr_zip_key,Network Build Status,Building Connection Status,Building Category,Access Medium,Install Interval,Supplier Name,Global Location ID,Custom Pricing Zone,Simple Status,Structure Status,Structure Type,Alternate Address,No IPL,Vanity Name,Building Management Company,Dist to Fiber Term Pt,Total Costs,Address Feedback,Country,Founded,API_EntityName,API_Website,API_Phone,API_LinkedIn,API_NoOfEmployees,API_MonthlyNetworkSpend,API_Revenue,API_Industry,API_FoundedYear,API_LocationType,API_LocationCount,DQE_Site_Distance,DQE_Connection_Status,DQE_Access_Medium,DQE_Network_Status,SITE_All_Competitors,API_Additional_Tenants
Trilogy Health Services,1985 Lincoln Way,McKeesport,Pennsylvania,15131,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.trilogyhs.com,412-664-7004,https://www.linkedin.com/company/trilogy-health-services-llc,30,1072.5,4390,161805,"Commercial Building,Health Care",Yellow,trilogy health services,1985 lincoln way|15131,,,,,,,,,,,,,,,,,,,,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Value City Furniture,3801 William Penn Hwy,Monroeville,Pennsylvania,15146,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://valuecityfurniture.com,412-373-6660,https://www.linkedin.com/company/tnooz,30,1072.5,4367,128352.57,Commercial Building,Green,value city furniture,3801 william penn hwy|15146,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2C6Q8+4GFBS00,,,Estimated - Single Entrance Only,Building,,No,,,,9400,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Pepper's Performance Eyeware,3001 Pulawski Way,Pittsburgh,Pennsylvania,15219,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.peppersusa.com,412-688-8555,https://www.linkedin.com/company/pepper%27s-performance-eyeware,22,1062.5,23,1381.25,Commercial Building,Green,pepper s performance eyeware,3001 pulawski way|15219,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2F24H+VX7BS00,,,ConnectBase - Pending Estimate,Building,,,,,,,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Coast 2 Coast,2 Penn Ctr W,Pittsburgh,Pennsylvania,15276,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://c2ccorp.com,412-200-2240,https://www.linkedin.com/company/coast-2-coast-communications,22,1055,29,6353.25,Commercial Building,Red,coast 2 coast,2 penn ctr w|15276,Connected,OnNet,Commercial Building,Fiber,30,DQE COMMUNICATIONS,US86GXCVHG+FGXBS00,,,Fiber Ready - Single Entrance,Building W/ Cell Site,,No,,,,0,manual,US,2009,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Greater Valley Cmnty Svcs,300 Holland Ave,Braddock,Pennsylvania,15104,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.greatervalley.org,412-351-7055,,22,1055,23,1610,"Commercial Building,Health Care",Green,greater valley cmnty svcs,300 holland ave|15104,Not Connected,Near Net,"Health Care,Commercial Building",Fiber,60,DQE COMMUNICATIONS,US87G2C44H+F7GBS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Greater Valley Community,300 Holland Ave,Braddock,Pennsylvania,15104,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.greatervalleyhomehealthservices.com,412-351-7055,,22,1055,44,2310,"Commercial Building,Health Care",Green,greater valley community,300 holland ave|15104,Not Connected,Near Net,"Health Care,Commercial Building",Fiber,60,DQE COMMUNICATIONS,US87G2C44H+F7GBS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Hilton,119 Murtland Ave,Washington,Pennsylvania,15301,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.hilton.com,724-228-4100,https://www.linkedin.com/company/hilton,22,1055,144109,5543804.25,Commercial Building,Green,hilton,119 murtland ave|15301,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US86GX5QJ7+GVMBS00,,,Estimated - Single Entrance Only,Building,,,,,,,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Tender Care Learning Center,2000 Park Place Dr,Washington,Pennsylvania,15301,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://earlyeducationpros.org,724-222-2600,https://www.linkedin.com/company/tender-care-limited-partnership,22,1055,387,16141.25,Commercial Building,Green,tender care learning center,2000 park place dr|15301,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US86GX6R74+2XCBS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Urban Design Associates,3 Ppg Pl,Pittsburgh,Pennsylvania,15222,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://urbandesignassociates.com,412-325-6320,https://www.linkedin.com/company/urban-design-associates,22,1055,23,1610,Commercial Building,Red,urban design associates,3 ppg pl|15222,Connected,OnNet,Commercial Building,Fiber,30,DQE COMMUNICATIONS,US86GXCXRW+2XRBS00,,,Fiber Ready - Type 1,Building - Property Owner,410 Market St,No,,HRL001 HRLP Fourth Avenue LLC,,0,ok,US,1964,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Washington Park Office,43 W Wheeling St,Washington,Pennsylvania,15301,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.washingtonpa.us,724-223-4200,,22,1055,83,3737.5,Commercial Building,Green,washington park office,43 w wheeling st|15301,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US86GX5Q93+Q6RPS00,,,ConnectBase - Pending Estimate,,,,,,,,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Weber Gallagher Simpson,4 Ppg Pl,Pittsburgh,Pennsylvania,15222,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://www.wglaw.com,412-281-4541,https://www.linkedin.com/company/282168,22,1055,231,8097.5,Commercial Building,Red,weber gallagher simpson,4 ppg pl|15222,Connected,OnNet,Commercial Building,Fiber,30,DQE COMMUNICATIONS,US86GXCXQX+Q2XBS00,,,Existing Lit - Single Entrance,Building,,No,,HRL001 HRLP Fourth Avenue LLC,,0,ok,US,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Kevin Joyce Restaurants,500 Grant St,Pittsburgh,Pennsylvania,15219,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://eadiescatering.com,412-391-3993,,55,1047.5,55,1047.5,"Commercial Building,Health Care",Red,kevin joyce restaurants,500 grant st|15219,Connected,OnNet,"Health Care,Commercial Building",Fiber,30,DQE COMMUNICATIONS,US87G2C2Q3+VJ4BS00,,,Existing Lit- Type 1,Building - Property Owner,,No,,10061 The Bank of New York Mellon,,0,ok,US,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Acutronic Usa,700 Waterfront Dr,Pittsburgh,Pennsylvania,15222,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,http://acutronic.com,412-926-1200,https://www.linkedin.com/company/acutronic-usa,58,1046.25,68,1683.75,"Commercial Building,Health Care",Red,acutronic usa,700 waterfront dr|15222,Connected,OnNet,"Health Care,Commercial Building",Fiber,30,DQE COMMUNICATIONS,US87G2F28F+34HBS00,,,Existing Lit - Single Entrance,Building,,No,,,,0,ok,CH,1973,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
APRIA HEALTHCARE,612 Beatty Rd,Monroeville,Pennsylvania,15146,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.apria.com,412-373-1603,https://www.linkedin.com/company/apria-pharmacy,29,1046.25,14296,450564,"Commercial Building,Health Care",Yellow,apria healthcare,612 beatty rd|15146,Not Connected,Near Net,"Health Care,Commercial Building",Fiber,60,DQE COMMUNICATIONS,US87G2F62W+4RWBS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Auto Plus,270 Braddock Ave,Turtle Creek,Pennsylvania,15145,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.autoplus.biz,412-825-7278,https://www.linkedin.com/company/auto-plus-auto-parts,29,1046.25,2048,135242.5,Commercial Building,Yellow,auto plus,270 braddock ave|15145,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2C53C+C7RBS00,,,Estimated - Single Entrance Only,Building,,No,,,,7500,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Auto Plus Auto Parts,270 Braddock Ave,Turtle Creek,Pennsylvania,15145,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,http://www.autoplusap.com,412-825-7278,https://www.linkedin.com/company/auto-plus-auto-parts,29,1046.25,2772,317354,Commercial Building,Yellow,auto plus auto parts,270 braddock ave|15145,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2C53C+C7RBS00,,,Estimated - Single Entrance Only,Building,,No,,,,7500,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Jcrew,2200 Tanger Blvd,Washington,Pennsylvania,15301,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.jcrew.com,724-222-4930,https://www.linkedin.com/company/j-crew,29,1046.25,9650,291365.68,Commercial Building,Yellow,jcrew,2200 tanger blvd|15301,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US86GX6Q9Q+4FHBS00,,,,,,,,,,,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Walgreens,99 Jefferson Ave,Washington,Pennsylvania,15301,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.walgreens.com,724-228-3201,https://www.linkedin.com/company/walgreens,29,1046.25,423889,15377283.13,"Commercial Building,Health Care",Yellow,walgreens,99 jefferson ave|15301,Not Connected,Near Net,"Commercial Building,Health Care",Fiber,60,DQE COMMUNICATIONS,US86GX5PCW+9X5BS00,,,Estimated - Single Entrance Only,Building,,No,,,300,8500,ok,,1901,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Ambulance & Chair Svc,75 Braden St,Washington,Pennsylvania,15301,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.ambulanceandchair.com,724-225-8050,,16,1045,17,1633.75,"Commercial Building,Health Care",Green,ambulance & chair svc,75 braden st|15301,Not Connected,Near Net,"Health Care,Commercial Building",Fiber,60,DQE COMMUNICATIONS,US86GX5QG4+WFWBS00,,,ConnectBase - Pending Estimate,,,,,,,,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
C C Mellor Memorial Library,1 Pennwood Ave,Pittsburgh,Pennsylvania,15218,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,http://www.ccmellorlibrary.org,412-731-0909,https://www.linkedin.com/company/c.c.-mellor-memorial-library,16,1045,19,1465,Commercial Building,Red,c c mellor memorial library,1 pennwood ave|15218,Connected,OnNet,Commercial Building,Fiber,30,DQE COMMUNICATIONS,US87G2C4J7+VVHBS00,,,Fiber Ready - Single Entrance,Building,,No,Edgewood/ CC Mellor Memorial Library,,,0,ok,US,1918,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Chiz Bros,2117 Lincoln Blvd,Elizabeth,Pennsylvania,15037,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.chizbros.com,412-384-5220,https://www.linkedin.com/company/chiz-bros-refractory-and-insulation-specialists,32,1045,33,1414.38,Commercial Building,Green,chiz bros,2117 lincoln blvd|15037,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G274MH+662BS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,1967,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
First Step Recovery Homes,336 Penny St,McKeesport,Pennsylvania,15132,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,http://www.firststeprecoveryhomes.com,412-673-2117,https://www.linkedin.com/company/first-step-recovery-homes-inc,16,1045,17,1442.5,"Commercial Building,Health Care",Green,first step recovery homes,336 penny st|15132,Not Connected,Near Net,"Health Care,Commercial Building",Fiber,60,DQE COMMUNICATIONS,US87G284XP+4VMBS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Renewal By Andersen,1640 Golden Mile Hwy,Monroeville,Pennsylvania,15146,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.andersenwindows.com,724-387-1305,https://www.linkedin.com/company/401848,43,1037.5,4683,119212.3,Commercial Building,Green,renewal by andersen,1640 golden mile hwy|15146,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2C7QQ+337BS00,,,Estimated - Single Entrance Only,Building,,No,,,250,4000,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Renewal By Anderson,1640 Golden Mile Hwy,Monroeville,Pennsylvania,15146,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,http://www.renewalbyandersen.com,724-387-1631,https://www.linkedin.com/company/renewal-by-andersen,43,1037.5,723,24117.53,Commercial Building,Green,renewal by anderson,1640 golden mile hwy|15146,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2C7QQ+337BS00,,,Estimated - Single Entrance Only,Building,,No,,,250,4000,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
United Way,1250 Penn Ave,Pittsburgh,Pennsylvania,15222,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://www.unitedway.org,412-261-6010,https://www.linkedin.com/company/united-way-worldwide,43,1037.5,16685,757560.25,Commercial Building,Red,united way,1250 penn ave|15222,Connected,OnNet,Commercial Building,Fiber,30,DQE COMMUNICATIONS,US87G2C2W5+GPRBS00,,,Existing Lit- Type 1,Building - Property Owner,,Yes,,BUN001 The Buncher Company,,0,ok,US,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Us Small Business Administration,411 7th Ave,Pittsburgh,Pennsylvania,15219,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://www.sba.gov,412-395-6560,https://www.linkedin.com/company/us-small-business-administration,43,1037.5,4358,231275,"Commercial Building,Government,Health Care",Red,us small business administration,411 7th ave|15219,Connected,OnNet,"Health Care,Government,Commercial Building",Fiber,30,DQE COMMUNICATIONS,US87G2C2V3+4GRBS00,,,Existing Lit - Single Entrance,Building,,No,,,,0,ok,US,1953,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
American Wire Research,1005 Airbrake Ave,Wilmerding,Pennsylvania,15148,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,http://www.americanwireresearch.com,412-349-8431,https://www.linkedin.com/company/american-wire-research,32,1037,32,1037,Commercial Building,Green,american wire research,1005 airbrake ave|15148,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G295WQ+C4PBS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Equiparts,120 Pennsylvania Ave,Oakmont,Pennsylvania,15139,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.equiparts.net,412-781-9100,https://www.linkedin.com/company/1274360,36,1030,36,1030,Commercial Building,Green,equiparts,120 pennsylvania ave|15139,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2G5C3+WJ2BS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,1968,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Alternative Power Sources,104 Atlantic Ave,Elizabeth,Pennsylvania,15037,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.hickmanelectric.com,412-384-1900,https://www.linkedin.com/company/hickman-electric-inc-,31,1027.5,32,1402.5,Commercial Building,Green,alternative power sources,104 atlantic ave|15037,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G274HF+HHWBS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,1972,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Prominent Fluid Ctrls,136 Industry Dr,Pittsburgh,Pennsylvania,15275,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,http://prominent.us,412-788-7918,https://www.linkedin.com/company/prominent-fluid-controls-inc-,36,1020.5,41,2447.38,Commercial Building,Red,prominent fluid ctrls,136 industry dr|15275,Connected,OnNet,Commercial Building,Fiber,30,DQE COMMUNICATIONS,US86GXFR52+R49BS00,,,Fiber Ready - Single Entrance,Building,,No,,,,0,ok,US,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
West Tire Co,425 E Maiden St,Washington,Pennsylvania,15301,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,http://westtire.com,724-225-2600,,18,1020.5,19,1535,Commercial Building,Green,west tire,425 e maiden st|15301,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US86GX5Q88+FCPBS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Chipotle Mexican Grill,310 McHolme Dr,Pittsburgh,Pennsylvania,15275,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.chipotle.com,412-787-3227,https://www.linkedin.com/company/chipotle-mexican-grill,21,1020,75215,3536038,Commercial Building,Green,chipotle mexican grill,310 mcholme dr|15275,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US86GXCRXG+G57BS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Family Services Of Western Pennsylvania,310 Central City Plz,New Kensington,Pennsylvania,15068,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.wfspa.org,724-335-1455,https://www.linkedin.com/company/wesley-family-services,21,1020,529,22416.25,Commercial Building,Green,family services of western pennsylvania,310 central city plz|15068,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2G43W+M4FBS00,,,Estimated - Single Entrance Only,Building,,No,,,,7560,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Renaissance Family Practice,5769 Saltsburg Rd,Verona,Pennsylvania,15147,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://www.rfpcares.com,412-793-8870,,28,1020,46,5572.5,"Commercial Building,Health Care",Yellow,renaissance family practice,5769 saltsburg rd|15147,Connected,OnNet,"Commercial Building,Health Care",Fiber,30,DQE COMMUNICATIONS,US87G2F5MC+4VJBS00,,,Fiber Ready - Single Entrance,Building,,No,,,,0,ok,US,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Steidl Steinberg Attys At Law,707 Grant St,Pittsburgh,Pennsylvania,15219,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://goodbyedebt.com,412-391-8000,https://www.linkedin.com/company/steidl-,21,1020,37,7660,"Commercial Building,Health Care",Red,steidl steinberg attys at law,707 grant st|15219,Connected,OnNet,"Health Care,Commercial Building",Fiber,30,DQE COMMUNICATIONS,US87G2C2V3+2WJBS00,,,Existing Lit - Single Entrance,Building,,No,,,,0,ok,US,1985,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Us Small Business Administration,435 Donner Ave,Monessen,Pennsylvania,15062,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.sba.gov,,https://www.linkedin.com/company/us-small-business-administration,28,1020,4358,231275,"Commercial Building,Government,Health Care",Yellow,us small business administration,435 donner ave|15062,Not Connected,Near Net,"Health Care,Government,Commercial Building",Fiber,60,DQE COMMUNICATIONS,US87G25468+P45BS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,1953,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Wyndham Hotel Group,2727 Mosside Blvd,Monroeville,Pennsylvania,15146,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,http://www.wyndhamhotels.com,412-856-1610,https://www.linkedin.com/company/wyndhamhotels,21,1020,128273,5844862.25,Commercial Building,Green,wyndham hotel group,2727 mosside blvd|15146,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2C6PV+59FPS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Allied Insurance Brokers,444 Liberty Ave,Pittsburgh,Pennsylvania,15222,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://alliedinsbrokers.com,412-535-9293,https://www.linkedin.com/company/10432112,30,1010,44,2070,"Commercial Building,Health Care",Red,allied insurance brokers,444 liberty ave|15222,Connected,OnNet,"Health Care,Commercial Building",Fiber,30,DQE COMMUNICATIONS,US86GXCXRW+85RBS00,,,Fiber Ready - Type 1,Building - Property Owner,4 Gateway Ctr,No,,"HER001 Hertz Gateway Center, LP",,0,ok,US,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Massaro Community Farm,91 Pennsylvania Ave,Oakmont,Pennsylvania,15139,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.massarofarm.org,412-828-1680,https://www.linkedin.com/company/massaro-community-farm,20,1010,26,1396.25,Commercial Building,Green,massaro community farm,91 pennsylvania ave|15139,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2G5F3+64RBS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,2010,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Three Rivers Adoption Council,1600 W Carson St,Pittsburgh,Pennsylvania,15219,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,http://www.3riversadopt.org,412-471-8722,https://www.linkedin.com/company/three-rivers-adoption-council,20,1010,40,1385,"Commercial Building,Health Care",Yellow,three rivers adoption council,1600 w carson st|15219,Not Connected,Near Net,"Commercial Building,Health Care",Fiber,60,DQE COMMUNICATIONS,US86GXCXRH+RMMBS00,,,ConnectBase - Pending Estimate,Building - Property Owner,,,,,,,ok,,1979,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Trinity Contracting,602 E Main St,West Newton,Pennsylvania,15089,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.trinitycontracting.com,724-872-2085,https://www.linkedin.com/company/trinity-contracting,30,1010,37,2465,Commercial Building,Green,trinity contracting,602 e main st|15089,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2665P+92RPS00,,,ConnectBase - Pending Estimate,,,,,,,,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
